,html_url,number,labels,state,created_at,pull_request,comments,title,body,1,2,3,4,5,6,7,8,9,10
674,https://github.com/allenai/allennlp/issues/2147,2147,[],closed,2018-12-06 06:33:14+00:00,,4,Unknown label during NER 'predict',"**System (please complete the following information):**
 - OS: Linux
 - Python version: 3.6.7
 - AllenNLP version: v0.6.2

I am using the allennlp  'evaluate' command on an NER model trained on a subset on the Ontonotes 5.0 dataset. While making predictions on the test set, I encounter an unknown label, 'I-TIME' due to which the model throws and error:
`  File ""/home/radhikaparik/.conda/envs/allennlp/lib/python3.6/runpy.py"", line 193, in _run_module_as_main
    ""__main__"", mod_spec)
  File ""/home/radhikaparik/.conda/envs/allennlp/lib/python3.6/runpy.py"", line 85, in _run_code
    exec(code, run_globals)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/run.py"", line 18, in <module>
    main(prog=""allennlp"")
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/commands/__init__.py"", line 70, in main
    args.func(args)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/commands/evaluate.py"", line 151, in evaluate_from_args
    metrics = evaluate(model, instances, iterator, args.cuda_device)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/commands/evaluate.py"", line 103, in evaluate
    for batch in generator_tqdm:
  File ""/home/radhikaparik/.conda/envs/allennlp/lib/python3.6/site-packages/tqdm/_tqdm.py"", line 979, in __iter__
    for obj in iterable:
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/iterators/data_iterator.py"", line 148, in __call__
    batch.index_instances(self.vocab)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/dataset.py"", line 156, in index_instances
    instance.index_fields(vocab)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/instance.py"", line 60, in index_fields
    field.index(vocab)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/fields/sequence_label_field.py"", line 88, in index
    for label in self.labels]
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/fields/sequence_label_field.py"", line 88, in <listcomp>
    for label in self.labels]
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/vocabulary.py"", line 571, in get_token_index
    return self._token_to_index[namespace][self._oov_token]
KeyError: '@@UNKNOWN@@'`

 I tried discarding the example by removing it from the batch of instances, but that throws the following error:

`Traceback (most recent call last):
  File ""/home/radhikaparik/.conda/envs/allennlp/lib/python3.6/runpy.py"", line 193, in _run_module_as_main
    ""__main__"", mod_spec)
  File ""/home/radhikaparik/.conda/envs/allennlp/lib/python3.6/runpy.py"", line 85, in _run_code
    exec(code, run_globals)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/run.py"", line 18, in <module>
                field_tensors[field].append(tensors)
    main(prog=""allennlp"")
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/commands/__init__.py"", line 70, in main
    args.func(args)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/commands/evaluate.py"", line 151, in evaluate_from_args
    metrics = evaluate(model, instances, iterator, args.cuda_device)
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/commands/evaluate.py"", line 103, in evaluate
    for batch in generator_tqdm:
  File ""/home/radhikaparik/.conda/envs/allennlp/lib/python3.6/site-packages/tqdm/_tqdm.py"", line 979, in __iter__
    for obj in iterable:
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/iterators/data_iterator.py"", line 150, in __call__
    padding_lengths = batch.get_padding_lengths()
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/dataset.py"", line 58, in get_padding_lengths
    for instance in self.instances]
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/dataset.py"", line 58, in <listcomp>
    for instance in self.instances]
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/instance.py"", line 69, in get_padding_lengths
    lengths[field_name] = field.get_padding_lengths()
  File ""/home/radhikaparik/taskonomy-nlp/allennlp/data/fields/text_field.py"", line 76, in get_padding_lengths
    raise ConfigurationError(""You must call .index(vocabulary) on a ""
allennlp.common.checks.ConfigurationError: 'You must call .index(vocabulary) on a field before determining padding lengths.'
[INFO/MainProcess] process shutting down`

Is there a standard way to deal with unseen labels during 'evaluate'? 
",,,,,,,,,,1
680,https://github.com/allenai/allennlp/issues/2155,2155,[],closed,2018-12-08 09:27:13+00:00,,3,Label Counter to automatically generate label weights,"**Is your feature request related to a problem? Please describe.**
When training a model with unbalanced labels, I would like to use weights in loss function, which is not very friendly in AllenNLP.

**Describe the solution you'd like**
By adding label counts in vocabulary, thus users could use this sttributes to build label weights automatically in any model.

",,,,,,,,,,1
748,https://github.com/allenai/allennlp/issues/2285,2285,[],closed,2019-01-05 12:57:50+00:00,,0,[Bug] The type of `MultiLabelField.as_tensor`'s returned value is not always `LongTensor`,"**Describe the bug**
There is a test case producing errors:
```python
import numpy
import pytest

from allennlp.common.testing import AllenNlpTestCase
from allennlp.data.fields import MultiLabelField


class TestMultiLabelField(AllenNlpTestCase):
    def test_as_tensor_returns_integer_tensor(self):
        f = MultiLabelField([2, 3], skip_indexing=True, label_namespace=""test1"", num_labels=5)
        tensor = f.as_tensor(f.get_padding_lengths()).detach().cpu().tolist()
        assert tensor == [0, 0, 1, 1, 0]
        assert set([type(item) for item in tensor]) == set([int])
```

Run this test case, and you will get an error as follow:
```txt
...
Expected :{<class 'int'>}
Actual   :{<class 'float'>}
...
AssertionError
```

**System (please complete the following information):**
- OS: Linux
- Python version: 3.6.7
- AllenNLP version: 0.8.1-unreleased
- PyTorch version: 1.0.0

**Additional context**
PR is coming soon.
",,,,,,,,,,1
811,https://github.com/allenai/allennlp/issues/2415,2415,"[{'id': 887719346, 'node_id': 'MDU6TGFiZWw4ODc3MTkzNDY=', 'url': 'https://api.github.com/repos/allenai/allennlp/labels/Contributions%20welcome', 'name': 'Contributions welcome', 'color': '02b8d1', 'default': False, 'description': ''}]",closed,2019-01-22 03:10:05+00:00,,1,MultiLabelField's `empty_field` method always fails,"**Describe the bug**
MultiLabelField's `empty` method always fails, preventing it from being used with padding.

**To Reproduce**
```python
from allennlp.data.fields import MultiLabelField
f = MultiLabelField([])
f.empty_field()
```
Prints error:
```
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/julian/.dotfiles/local/miniconda3/lib/python3.6/site-packages/allennlp/data/fields/multilabel_field.py"", line 120, in empty_field
    return MultiLabelField([], self._label_namespace, skip_indexing=True)
  File ""/Users/julian/.dotfiles/local/miniconda3/lib/python3.6/site-packages/allennlp/data/fields/multilabel_field.py"", line 68, in __init__
    raise ConfigurationError(""In order to skip indexing, num_labels can't be None."")
allennlp.common.checks.ConfigurationError: ""In order to skip indexing, num_labels can't be None.""
```
Also,
```python
f = MultiLabelField([], skip_indexing = True, num_labels = 4)
f.empty_field()
```
throws the same error.

**Expected behavior**
Basically I think the implementation of `empty_field(self)` should be something like:
```python
return MultiLabelField([], self._label_namespace, skip_indexing = self._num_labels is not None, self._num_labels)
```
This way it would bypass the indexing step when possible (i.e., `num_labels` is already known, for example if we're producing an empty field from an already-indexed one), but always do it when necessary (i.e., when `num_labels` is not already known).

**System (please complete the following information):**
 - OS: OSX
 - Python version: 3.6.5
 - AllenNLP version: v0.8.0

**Additional context**
This makes it impossible to use MultiLabelField inside ListField. Surprising that nobody has come across this before but I guess MultiLabelField is not often used...",,,,,,,,,,1
937,https://github.com/allenai/allennlp/issues/2651,2651,[],closed,2019-03-27 13:44:01+00:00,,0,TextClassificationJsonReader doesn't allow skip_label_indexing=True,"**Describe the bug**
The DataReader subclass TextClassificationJsonReader gives the following `ConfigurationError`
when reading data that has numeric labels (starting from 0):

```
ConfigurationError: 'In order to skip indexing, your labels must be integers. Found label = 0'
```

**To Reproduce**
1. Create a json lines file named 'example.jsonl' that contains two rows:
```
with open(""example.jsonl"", ""w"") as f:
    f.write(""{\""label\"": 0, \""text\"": \""This text has label 0\""}\n"")
    f.write(""{\""label\"": 1, \""text\"": \""This text has label 1\""}"")
```
2. Import and instantiate TextClassificationJsonReader class:
```
from allennlp.data.dataset_readers import TextClassificationJsonReader
tcjr = TextClassificationJsonReader(skip_label_indexing=True)
```
3. Attempt to read data from file.
```
reader = tcjr.read(file_path='example.jsonl')
```
**Expected behavior**
Provide a list of `Instance`s. 

**System**
 - OS: Linux
 - Python version: 3.6.7
 - AllenNLP version: 0.8.2",,,,,,,,,,1
1017,https://github.com/allenai/allennlp/issues/2788,2788,[],closed,2019-05-01 16:54:51+00:00,,3,Embed padded LabelFields,"**System:**
 - OS: OSX
 - Python version: 3.6.8
 - AllenNLP version: v0.8.3
 - PyTorch version: v1.0.0

**Question**
I know this isn't the most common use-case, but I was wondering if this was even possible without manually indexing the label vocabulary. The issue right now is that potential padding tokens are indexed as -1 for ```LabelField```s. Using a generic ```Embedding``` module makes embedding this very hacky, because -1 throws an ```IndexError```. 

The ideal scenario would be to allow unknown/pad labels to be indexed as a positive integer, and combine that with perhaps ```padding_index``` during embedding, so they'd be embedded as a vector of zeroes.

Is there an obvious way to do this that I'm just missing? Cheers.",,,,,,,,,,1
1078,https://github.com/allenai/allennlp/issues/2883,2883,"[{'id': 887719346, 'node_id': 'MDU6TGFiZWw4ODc3MTkzNDY=', 'url': 'https://api.github.com/repos/allenai/allennlp/labels/Contributions%20welcome', 'name': 'Contributions welcome', 'color': '02b8d1', 'default': False, 'description': ''}]",open,2019-05-24 04:29:51+00:00,,3,AUC for Multi-label Multi-class classification task,"I am looking forward to have  AUC for multi-label multi-class classification task but the AllenNLP  library currently does not support it 

Has anyone tried it earlier ?",,,,,,,,,,1
1175,https://github.com/allenai/allennlp/issues/3050,3050,[],closed,2019-07-11 08:44:48+00:00,,6,How to index labels when using BERT?,"I am using BERT as the token encoder, and then do sequence tagging. The original labels are strings.

I am puzzled how to do the label indexing in this case. By instruction, we need to pass empty vocabulary to BERT indexer; however, for the labels I must build an vocabulary first, and use SingleIdTokenIndexer. I am not sure how to correctly achieve this. We can assume we only have 'tokens' and 'labels' in the instance where 'labels' is a SequenceLabelField. Any quick example is very much appreciated!",,,,,,,,,,1
1229,https://github.com/allenai/allennlp/issues/3137,3137,[],closed,2019-08-12 08:48:51+00:00,,2,BUG: Can't create an empty SequenceLabelField with a ListField,"**Describe the bug**
Can not create a SequenceLabelField with an empty ListField provided.

The init function will check whether the length of provided ListField and labels are same. This will cause an error in `empty_field`, which pass a 0-length label and a 1-length empty ListField.


```
allennlp.common.checks.ConfigurationError: ""Label length and sequence length don't match: 0 and 1""
```
**To Reproduce**
```
empty_text_field = TextField([], {'tokens': SingleIdTokenIndexer()}).empty_field()
empty_span_field = SpanField(-1, -1, empty_text_field).empty_field()
empty_list_field = ListField([empty_span_field]).empty_field()
empty_seq_label_field = SequenceLabelField([0], sequence_field=empty_list_field).empty_field()
```

**Expected behavior**
return an empty SequenceLabelField

",,,,,,,,,,1
1236,https://github.com/allenai/allennlp/issues/3156,3156,"[{'id': 887719346, 'node_id': 'MDU6TGFiZWw4ODc3MTkzNDY=', 'url': 'https://api.github.com/repos/allenai/allennlp/labels/Contributions%20welcome', 'name': 'Contributions welcome', 'color': '02b8d1', 'default': False, 'description': ''}]",open,2019-08-14 14:49:06+00:00,,2,"compute span-f1 with  label_encoding :""BIOUL""","**System (please complete the following information):**
 - OS: Mac os
 - Python version: 3.6
 - AllenNLP version: latest
 - PyTorch version: 1.2

**Question**

* I want to compute span-f1 with 'BIOUL' label encoding, and I find that the function 'bioul_tags_to_spans' does not allow ill-formed spans. But  the prediction output of the model
may be ill-formed, and will raise 'InvalidTagSequence' Error, so that the span-f1 can not compute.

",,,,,,,,,,1
